,act_symbol,sector
319,BCS,"COMMERCIAL BANKS, NEC"
320,BCV,Unknown
321,BDC,DRAWING AND INSULATING NONFERROUS WIRE
322,BDGE,Unknown
323,BDJ,Unknown
324,BDN,REAL ESTATE INVESTMENT TRUSTS
325,BDR,Unknown
326,BDSI,PHARMACEUTICAL PREPARATIONS
327,BDX,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
328,BEAT,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
329,BECN,WHOLESALE-LUMBER &amp; OTHER CONSTRUCTION MATERIALS
330,BEEM,SEMICONDUCTORS &amp; RELATED DEVICES
331,BELFA,"ELECTRONIC COILS, TRANSFORMERS &amp; OTHER INDUCTORS"
332,BELFB,"ELECTRONIC COILS, TRANSFORMERS &amp; OTHER INDUCTORS"
333,BEN,INVESTMENT ADVICE
334,BF.A,Unknown
335,BF.B,Unknown
336,BFIN,"SAVINGS INSTITUTION, FEDERALLY CHARTERED"
337,BFK,Unknown
338,BFO,Unknown
339,BFS,REAL ESTATE INVESTMENT TRUSTS
340,BFY,Unknown
341,BFZ,Unknown
342,BG,FATS &amp; OILS
343,BGCP,"SECURITY &amp; COMMODITY BROKERS, DEALERS, EXCHANGES &amp; SERVICES"
344,BGFV,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES
345,BGI,RETAIL-JEWELRY STORES
346,BGR,Unknown
347,BGS,FOOD &amp; KINDRED PRODUCTS
348,BGT,Unknown
349,BGY,Unknown
350,BHB,STATE COMMERCIAL BANKS
351,BHC,PHARMACEUTICAL PREPARATIONS
352,BHE,PRINTED CIRCUIT BOARDS
353,BHK,Unknown
354,BHLB,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED"
355,BHP,METAL MINING
356,BHV,Unknown
357,BIDU,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
358,BIF,Unknown
359,BIG,RETAIL-VARIETY STORES
360,BIIB,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
361,BIMI,WHOLESALE-DRUGS PROPRIETARIES &amp; DRUGGISTS&#39; SUNDRIES
362,BIO,LABORATORY ANALYTICAL INSTRUMENTS
363,BIO.B,Unknown
