,act_symbol,sector
8758,NVCT,PHARMACEUTICAL PREPARATIONS
8759,NVX,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
8760,SHAP,"SERVICES-BUSINESS SERVICES, NEC"
8761,SHEL,CRUDE PETROLEUM &amp; NATURAL GAS
8762,SSIC,Unknown
8763,SZZL,BLANK CHECKS
8764,TGAA,BLANK CHECKS
8765,XPDB,AIR COND &amp; WARM AIR HEATING EQUIP &amp; COMM &amp; INDL REFRIG EQUIP
8766,AHRN,BLANK CHECKS
8767,BFAC,BLANK CHECKS
8768,GFGD,MOTOR VEHICLE PARTS &amp; ACCESSORIES
8769,IVCB,BLANK CHECKS
8770,ADRT,BLANK CHECKS
8771,PRLH,BLANK CHECKS
8772,HAIA,BLANK CHECKS
8773,APXI,BLANK CHECKS
8774,AOGO,SERVICES-PREPACKAGED SOFTWARE
8775,AREB,MISCELLANEOUS FABRICATED METAL PRODUCTS
8776,AREBW,MISCELLANEOUS FABRICATED METAL PRODUCTS
8777,AREN,CABLE &amp; OTHER PAY TELEVISION SERVICES
8778,BRCC,BEVERAGES
8779,CEAD,AGRICULTURE SERVICES
8780,CFFS,BLANK CHECKS
8781,CPTN,MOTOR VEHICLE PARTS &amp; ACCESSORIES
8782,DRCT,SERVICES-ADVERTISING
8783,HTCR,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
8784,ISPO,BLANK CHECKS
8785,LSPR,PHARMACEUTICAL PREPARATIONS
8786,MDV,REAL ESTATE INVESTMENT TRUSTS
8787,MODD,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
8788,NRGV,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
8789,QNGY,MOTOR VEHICLE PARTS &amp; ACCESSORIES
8790,RMMZ,Unknown
8791,SAGA,BLANK CHECKS
8792,SKYX,ELECTRIC LIGHTING &amp; WIRING EQUIPMENT
8793,TCBP,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
8794,RCAC,"AIR TRANSPORTATION, NONSCHEDULED"
8795,BOCN,BLANK CHECKS
8796,BTOG,FINANCE SERVICES
8797,BWV,PHARMACEUTICAL PREPARATIONS
8798,EMLD,FINANCE SERVICES
8799,IVCP,CRUDE PETROLEUM &amp; NATURAL GAS
8800,MHUA,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
8801,QTEK,"WATER, SEWER, PIPELINE, COMM AND POWER LINE CONSTRUCTION"
8802,SMFL,MEDICINAL CHEMICALS &amp; BOTANICAL PRODUCTS
8803,AIB,BLANK CHECKS
8804,BOC,REAL ESTATE OPERATORS (NO DEVELOPERS) &amp; LESSORS
8805,CXAC,BLANK CHECKS
8806,RLTY,Unknown
8807,TGAN,SEMICONDUCTORS &amp; RELATED DEVICES
8808,CITE,BLANK CHECKS
8809,IXHL,PHARMACEUTICAL PREPARATIONS
8810,RGTI,SERVICES-COMPUTER PROGRAMMING SERVICES
8811,RGTIW,SERVICES-COMPUTER PROGRAMMING SERVICES
8812,SCRM,BLANK CHECKS
8813,VBOC,BLANK CHECKS
8814,ZIMV,DENTAL EQUIPMENT &amp; SUPPLIES
8815,GMFI,BLANK CHECKS
8816,ITAQ,INDUSTRIAL ORGANIC CHEMICALS
8817,VCXB,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
8818,WNNR,SERVICES-PREPACKAGED SOFTWARE
8819,KYCH,BLANK CHECKS
8820,PPYA,BLANK CHECKS
8821,ACAB,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
8822,CSLM,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
8823,EP,CRUDE PETROLEUM &amp; NATURAL GAS
8824,GAQ,BLANK CHECKS
8825,GCTK,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
8826,HMA,BLANK CHECKS
8827,IDR,GOLD &amp; SILVER ORES
8828,KMPB,"FIRE, MARINE &amp; CASUALTY INSURANCE"
8829,KNSW,BLANK CHECKS
8830,MGLD,FINANCE SERVICES
8831,SCCE,REAL ESTATE INVESTMENT TRUSTS
8832,DRTS,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
8833,LIVB,BLANK CHECKS
8834,TETE,"SERVICES-BUSINESS SERVICES, NEC"
8835,BYN,RETAIL-EATING &amp; DRINKING PLACES
8836,AKAN,MEDICINAL CHEMICALS &amp; BOTANICAL PRODUCTS
8837,ALLG,"SERVICES-AUTOMOTIVE REPAIR, SERVICES &amp; PARKING"
8838,ASCA,BLANK CHECKS
8839,BBUC,CONSTRUCTION SPECIAL TRADE CONTRACTORS
8840,DUET,BLANK CHECKS
8841,FEAM,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS)"
8842,LATG,BLANK CHECKS
8843,PGRU,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
8844,POET,SEMICONDUCTORS &amp; RELATED DEVICES
8845,GHIX,BLANK CHECKS
8846,HCMA,BLANK CHECKS
8847,BWAQ,BLANK CHECKS
8848,ACAX,WHOLESALE-DRUGS PROPRIETARIES &amp; DRUGGISTS&#39; SUNDRIES
8849,ANTX,PHARMACEUTICAL PREPARATIONS
8850,AXAC,BLANK CHECKS
8851,FRGE,"SECURITY &amp; COMMODITY BROKERS, DEALERS, EXCHANGES &amp; SERVICES"
8852,GGE,REAL ESTATE
8853,LCFY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
8854,LLAP,GUIDED MISSILES &amp; SPACE VEHICLES &amp; PARTS
8855,MTMT,SERVICES-MOTION PICTURE &amp; VIDEO TAPE PRODUCTION
8856,SCTL,Unknown
8857,TGR,BLANK CHECKS
8858,ZTEK,MISCELLANEOUS CHEMICAL PRODUCTS
8859,ATAK,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
8860,EMBC,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
8861,MURF,PHARMACEUTICAL PREPARATIONS
8862,PEGY,CONSTRUCTION SPECIAL TRADE CONTRACTORS
8863,RVSN,RAILROAD EQUIPMENT
8864,STRY,TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE)
8865,SWVL,"SERVICES-BUSINESS SERVICES, NEC"
8866,XPON,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
8867,BYNO,BLANK CHECKS
8868,CPAQ,BLANK CHECKS
8869,EVGR,BLANK CHECKS
8870,HNRA,CRUDE PETROLEUM &amp; NATURAL GAS
8871,SGHL,BLANK CHECKS
8872,DC,METAL MINING
8873,ESAB,"GENERAL INDUSTRIAL MACHINERY &amp; EQUIPMENT, NEC"
8874,FTII,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
8875,GENQ,BLANK CHECKS
8876,GGR,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
8877,JGGC,BLANK CHECKS
8878,LAB,LABORATORY ANALYTICAL INSTRUMENTS
8879,MLTX,PHARMACEUTICAL PREPARATIONS
8880,NUTX,"SERVICES-BUSINESS SERVICES, NEC"
8881,RACY,BLANK CHECKS
8882,WBD,CABLE &amp; OTHER PAY TELEVISION SERVICES
8883,APLD,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
8884,CRGE,TELEGRAPH &amp; OTHER MESSAGE COMMUNICATIONS
8885,GDST,ELECTRICAL INDUSTRIAL APPARATUS
8886,GNS,SERVICES-PREPACKAGED SOFTWARE
8887,LBBB,BLANK CHECKS
8888,PWUP,PHARMACEUTICAL PREPARATIONS
8889,STSS,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
8890,WAVS,SERVICES-COMPUTER PROGRAMMING SERVICES
8891,ACON,SERVICES-MEDICAL LABORATORIES
8892,CLIN,ELECTRIC &amp; OTHER SERVICES COMBINED
8893,FGMC,SERVICES-PREPACKAGED SOFTWARE
8894,JCSE,MISCELLANEOUS MANUFACTURING INDUSTRIES
8895,RFAC,BLANK CHECKS
8896,SPCM,BLANK CHECKS
8897,VMCA,BLANK CHECKS
8898,SHUA,BLANK CHECKS
8899,GSRM,FINANCE SERVICES
8900,AIU,SERVICES-EDUCATIONAL SERVICES
8901,BLTE,PHARMACEUTICAL PREPARATIONS
8902,ELBM,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS)"
8903,HLVX,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
8904,LNW,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
8905,OST,"ELECTRONIC COMPONENTS, NEC"
8906,RWOD,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
8907,SAI,FINANCE SERVICES
8908,SOUN,SERVICES-PREPACKAGED SOFTWARE
8909,TNON,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
8910,AUST,GOLD &amp; SILVER ORES
8911,BIOR,PHARMACEUTICAL PREPARATIONS
8912,BLCO,OPHTHALMIC GOODS
8913,DPSI,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
8914,EDBL,AGRICULTURE PRODUCTION - CROPS
8915,NHWK,PHARMACEUTICAL PREPARATIONS
8916,NUBI,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
8917,PEPG,PHARMACEUTICAL PREPARATIONS
8918,PLAO,BLANK CHECKS
8919,SAT,Unknown
8920,SMR,FABRICATED PLATE WORK (BOILER SHOPS)
8921,FERG,WHOLESALE-HARDWARE &amp; PLUMBING &amp; HEATING EQUIPMENT &amp; SUPPLIES
8922,EVEX,AIRCRAFT
8923,HNVR,STATE COMMERCIAL BANKS
8924,PFHC,"OIL, GAS FIELD SERVICES, NBC"
8925,SCCF,REAL ESTATE INVESTMENT TRUSTS
8926,BGXX,MEDICINAL CHEMICALS &amp; BOTANICAL PRODUCTS
8927,CMRA,PHARMACEUTICAL PREPARATIONS
8928,FIG,Unknown
8929,IAUX,GOLD &amp; SILVER ORES
8930,OKYO,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
8931,PRE,LABORATORY ANALYTICAL INSTRUMENTS
8932,SASI,TRANSPORTATION SERVICES
8933,SOBR,PERIODICALS:  PUBLISHING OR PUBLISHING AND PRINTING
8934,VEDU,SERVICES-EDUCATIONAL SERVICES
8935,BNRG,"HEATING EQUIPMENT, EXCEPT ELECTRIC &amp; WARM AIR FURNACES"
8936,BTMD,MEDICINAL CHEMICALS &amp; BOTANICAL PRODUCTS
8937,LSAK,"FUNCTIONS RELATED TO DEPOSITORY BANKING, NEC"
8938,MICS,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
8939,MSPR,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
8940,ODV,GOLD &amp; SILVER ORES
8941,AFAR,SERVICES-MOTION PICTURE &amp; VIDEO TAPE DISTRIBUTION
8942,BCAN,SERVICES-PREPACKAGED SOFTWARE
8943,CLRC,BLANK CHECKS
8944,EMWP,Unknown
8945,GBTG,TRANSPORTATION SERVICES
8946,MSSA,BLANK CHECKS
8947,SVRE,SERVICES-COMPUTER PROGRAMMING SERVICES
8948,TOP,"SECURITY &amp; COMMODITY BROKERS, DEALERS, EXCHANGES &amp; SERVICES"
8949,WDS,CRUDE PETROLEUM &amp; NATURAL GAS
8950,ASCB,BLANK CHECKS
8951,DECA,PHARMACEUTICAL PREPARATIONS
8952,MXCT,SERVICES-COMMERCIAL PHYSICAL &amp; BIOLOGICAL RESEARCH
8953,AFRI,GRAIN MILL PRODUCTS
8954,HOUS,REAL ESTATE AGENTS &amp; MANAGERS (FOR OTHERS)
8955,PEV,TRUCK &amp; BUS BODIES
8956,SNTI,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
8957,SYM,"GENERAL INDUSTRIAL MACHINERY &amp; EQUIPMENT, NEC"
8958,ALVO,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
8959,CNXA,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
8960,EGIO,"SERVICES-BUSINESS SERVICES, NEC"
8961,GBBK,BLANK CHECKS
8962,GROV,RETAIL-CATALOG &amp; MAIL-ORDER HOUSES
8963,HSCS,"ORTHOPEDIC, PROSTHETIC &amp; SURGICAL APPLIANCES &amp; SUPPLIES"
8964,LYT,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
8965,SBIG,SERVICES-COMPUTER PROGRAMMING SERVICES
8966,SCWO,MOTORS &amp; GENERATORS
8967,CHEA,BLANK CHECKS
8968,GSUN,SERVICES-EDUCATIONAL SERVICES
8969,HTFC,Unknown
8970,INTR,"COMMERCIAL BANKS, NEC"
8971,IPX,MISCELLANEOUS METAL ORES
8972,PGY,FINANCE SERVICES
8973,PSNY,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
8974,PSNYW,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
8975,AIMBU,BLANK CHECKS
8976,EHAB,SERVICES-HOME HEALTH CARE SERVICES
8977,IE,METAL MINING
8978,IONR,"MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS)"
8979,KAL,AGRICULTURE PRODUCTION - CROPS
8980,TYDE,SHORT-TERM BUSINESS CREDIT INSTITUTIONS
8981,YOTA,RETAIL-AUTO DEALERS &amp; GASOLINE STATIONS
8982,IVCA,BLANK CHECKS
8983,RENE,BLANK CHECKS
8984,CHRD,CRUDE PETROLEUM &amp; NATURAL GAS
8985,EVTV,MOTOR VEHICLE PARTS &amp; ACCESSORIES
8986,PMN,PHARMACEUTICAL PREPARATIONS
8987,PNAC,BLANK CHECKS
8988,USEA,WATER TRANSPORTATION
8989,VVX,SERVICES-FACILITIES SUPPORT MANAGEMENT SERVICES
8990,GRRR,SERVICES-PREPACKAGED SOFTWARE
8991,HKD,FINANCE SERVICES
8992,ILAG,"PARTITIONS, SHELVING, LOCKERS &amp; OFFICE AND STORE FIXTURES"
8993,NA,SEMICONDUCTORS &amp; RELATED DEVICES
8994,NCPL,FINANCE SERVICES
8995,NCPLW,FINANCE SERVICES
8996,PROK,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
8997,FAZE,SERVICES-MISCELLANEOUS AMUSEMENT &amp; RECREATION
8998,GETY,"SERVICES-BUSINESS SERVICES, NEC"
8999,GWAV,WHOLESALE-METALS SERVICE CENTERS &amp; OFFICES
9000,HLN,"PERFUMES, COSMETICS &amp; OTHER TOILET PREPARATIONS"
9001,MOND,TRANSPORTATION SERVICES
9002,OPAL,GAS &amp; OTHER SERVICES COMBINED
9003,VRAX,IN VITRO &amp; IN VIVO DIAGNOSTIC SUBSTANCES
9004,WETG,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
9005,APGN,PHARMACEUTICAL PREPARATIONS
9006,ECBK,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED"
9007,MAIA,PHARMACEUTICAL PREPARATIONS
9008,MGAM,SERVICES-AMUSEMENT &amp; RECREATION SERVICES
9009,NEOV,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
9010,NOTE,"SERVICES-BUSINESS SERVICES, NEC"
9011,PLUR,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
9012,QNCX,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
9013,IRAA,BLANK CHECKS
9014,BRSH,DENTAL EQUIPMENT &amp; SUPPLIES
9015,EFSH,SERVICES-MANAGEMENT CONSULTING SERVICES
9016,FIP,"RAILROADS, LINE-HAUL OPERATING"
9017,MEGL,FINANCE SERVICES
9018,STIX,SERVICES-COMPUTER PROGRAMMING SERVICES
9019,STKH,FOOD &amp; KINDRED PRODUCTS
9020,ZFOX,"SERVICES-BUSINESS SERVICES, NEC"
9021,QBTS,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
9022,ACNT,CHEMICALS &amp; ALLIED PRODUCTS
9023,AIMD,PHARMACEUTICAL PREPARATIONS
9024,AIMDW,PHARMACEUTICAL PREPARATIONS
9025,BGLC,SERVICES-MEDICAL LABORATORIES
9026,BNH,Unknown
9027,BNJ,Unknown
9028,BODI,Unknown
9029,CALC,Unknown
9030,CHG,REAL ESTATE
9031,COEP,PHARMACEUTICAL PREPARATIONS
9032,CXT,Unknown
9033,ELTX,Unknown
9034,ELVN,Unknown
9035,EPOW,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
9036,ETAO,Unknown
9037,FLJ,Unknown
9038,FOXO,Unknown
9039,FRZA,SHIP &amp; BOAT BUILDING &amp; REPAIRING
9040,GRNT,CRUDE PETROLEUM &amp; NATURAL GAS
9041,ICCT,SERVICES-PREPACKAGED SOFTWARE
9042,INBS,Unknown
9043,IRON,Unknown
9044,KRRO,Unknown
9045,LENZ,Unknown
9046,LIFW,Unknown
9047,LNKB,STATE COMMERCIAL BANKS
9048,LPTV,SERVICES-HELP SUPPLY SERVICES
9049,LUCY,OPHTHALMIC GOODS
9050,MCOM,Unknown
9051,MCVT,FINANCE SERVICES
9052,MLGO,Unknown
9053,NUKK,SERVICES-MANAGEMENT CONSULTING SERVICES
9054,OBDC,Unknown
9055,OCTO,Unknown
9056,PET,SERVICES-PERSONAL SERVICES
9057,RBCP,Unknown
9058,RBT,SERVICES-PREPACKAGED SOFTWARE
9059,REBN,RETAIL-EATING PLACES
9060,SMX,MISC INDUSTRIAL &amp; COMMERCIAL MACHINERY &amp; EQUIPMENT
9061,SPEC,Unknown
9062,SPRU,Unknown
9063,TGL,"SERVICES-BUSINESS SERVICES, NEC"
9064,THAR,Unknown
9065,TORM,Unknown
9066,TRML,Unknown
9067,UZF,RADIO TELEPHONE COMMUNICATIONS
9068,WGS,Unknown
9069,FLFV,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
9070,GCT,RETAIL-CATALOG &amp; MAIL-ORDER HOUSES
9071,GRFX,ELECTRICAL INDUSTRIAL APPARATUS
9072,REUN,SERVICES-HEALTH SERVICES
9073,SKGR,BLANK CHECKS
9074,UPXI,FINANCE SERVICES
9075,AKLI,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
9076,APE,SERVICES-MOTION PICTURE THEATERS
9077,JFBR,RETAIL-MISCELLANEOUS RETAIL
9078,MOB,AIRCRAFT
9079,ONFO,SERVICES-COMPUTER PROCESSING &amp; DATA PREPARATION
9080,PXMD,PHARMACEUTICAL PREPARATIONS
9081,SCCG,REAL ESTATE INVESTMENT TRUSTS
9082,STBX,SERVICES-ADVERTISING
9083,JZ,SERVICES-EDUCATIONAL SERVICES
9084,ATXG,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART &amp; PHOTOGRAPHY"
9085,BIAF,SERVICES-COMMERCIAL PHYSICAL &amp; BIOLOGICAL RESEARCH
9086,HPCO,CIGARETTES
9087,NOGN,"SERVICES-BUSINESS SERVICES, NEC"
9088,SHPH,PHARMACEUTICAL PREPARATIONS
9089,TFPM,MINERAL ROYALTY TRADERS
9090,VANI,ELECTROMEDICAL &amp; ELECTROTHERAPEUTIC APPARATUS
9091,WEST,BEVERAGES
9092,FRTX,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
9093,MODG,Unknown
9094,YOSH,RETAIL-EATING PLACES
9095,AMPX,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT &amp; SUPPLIES"
9096,CRBG,LIFE INSURANCE
9097,HMAC,BLANK CHECKS
9098,HOLO,Unknown
9099,IVVD,BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
9100,KITT,"GENERAL INDUSTRIAL MACHINERY &amp; EQUIPMENT, NEC"
9101,KNW,FINANCE SERVICES
9102,NXL,ELECTROMEDICAL &amp; ELECTROTHERAPEUTIC APPARATUS
9103,RUM,Unknown
9104,THRD,PHARMACEUTICAL PREPARATIONS
9105,WLDS,COMPUTER COMMUNICATIONS EQUIPMENT
9106,IMNN,Unknown
9107,NYAX,SERVICES-PREPACKAGED SOFTWARE
9108,PRST,Unknown
9109,ALPS,Unknown
9110,AMV,Unknown
9111,LASE,Unknown
9112,LVWR,Unknown
9113,MOBV,BLANK CHECKS
9114,PTWO,SERVICES-OFFICES &amp; CLINICS OF DOCTORS OF MEDICINE
9115,SHFS,Unknown
9116,THCH,RETAIL-EATING PLACES
9117,BHM,REAL ESTATE INVESTMENT TRUSTS
9118,DFLI,Unknown
9119,MPTI,"ELECTRONIC COMPONENTS, NEC"
9120,RZC,Unknown
9121,CTM,SERVICES-MANAGEMENT CONSULTING SERVICES
9122,EFXT,Unknown
9123,RTO,SERVICES-MANAGEMENT SERVICES
9124,TOVX,Unknown
9125,VOXR,GOLD &amp; SILVER ORES
9126,AQU,BLANK CHECKS
9127,BMN,Unknown
9128,CDIO,Unknown
9129,ICU,Unknown
9130,MBLY,Unknown
9131,PERF,SERVICES-PREPACKAGED SOFTWARE
9132,SATX,RADIO &amp; TV BROADCASTING &amp; COMMUNICATIONS EQUIPMENT
9133,SLNA,HOTELS &amp; MOTELS
9134,SVII,MISCELLANEOUS METAL ORES
9135,ACDC,Unknown
9136,ADD,Unknown
9137,LUXH,Unknown
9138,OABI,Unknown
9139,PKBO,Unknown
9140,RXO,Unknown
9141,SAJ,Unknown
9142,ASPI,MISCELLANEOUS CHEMICAL PRODUCTS
9143,ATAT,HOTELS &amp; MOTELS
9144,FSCO,Unknown
9145,SCLX,Unknown
9146,SNAL,Unknown
9147,SPRY,Unknown
9148,UHALB,Unknown
9149,GLST,BLANK CHECKS
9150,ACRV,Unknown
9151,CMND,Unknown
9152,EUDA,Unknown
9153,GRND,Unknown
9154,LFCR,Unknown
9155,NWTN,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
9156,POCI,Unknown
9157,NYXH,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
9158,BKDT,Unknown
9159,NAMS,PHARMACEUTICAL PREPARATIONS
9160,TMPO,Unknown
9161,QOMO,Unknown
9162,AGAE,Unknown
9163,DRS,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL SYS"
9164,SFR,Unknown
9165,TFIN,Unknown
9166,DMYY,BLANK CHECKS
9167,EFHT,MOTOR VEHICLES &amp; PASSENGER CAR BODIES
9168,GETR,Unknown
9169,JEWL,"JEWELRY, SILVERWARE &amp; PLATED WARE"
9170,KWE,SERVICES-PREPACKAGED SOFTWARE
9171,OSA,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
9172,TENK,PHARMACEUTICAL PREPARATIONS
9173,BNRE,Unknown
9174,LANV,APPAREL &amp; OTHER FINISHED PRODS OF FABRICS &amp; SIMILAR MATERIAL
9175,MATH,Unknown
9176,MBC,Unknown
9177,RAYA,MOTORS &amp; GENERATORS
9178,SAY,Unknown
9179,ZVSA,Unknown
9180,MRDB,Unknown
9181,CACO,Unknown
9182,DOMH,Unknown
9183,ECX,Unknown
9184,HUDA,BLANK CHECKS
9185,LIPO,PHARMACEUTICAL PREPARATIONS
9186,UHAL.B,Unknown
9187,COYA,Unknown
9188,FGH,Unknown
9189,RTC,Unknown
9190,ALTI,Unknown
9191,GEHC,Unknown
9192,MLEC,Unknown
9193,VTLE,Unknown
9194,AMLI,Unknown
9195,CCLD,Unknown
9196,GDC,Unknown
9197,MGOL,Unknown
9198,MKUL,Unknown
9199,PLTN,Unknown
9200,SKWD,Unknown
9201,ATMC,Unknown
9202,CVKD,Unknown
9203,VTS,Unknown
9204,EU,MISCELLANEOUS METAL ORES
9205,ALAR,Unknown
9206,ATMV,Unknown
9207,AVTA,Unknown
9208,BAER,"SERVICES-BUSINESS SERVICES, NEC"
9209,BREA,Unknown
9210,CRGO,Unknown
9211,GNLX,PHARMACEUTICAL PREPARATIONS
9212,HSPO,Unknown
9213,OBIO,Unknown
9214,QSG,Unknown
9215,TXO,Unknown
9216,SEPA,Unknown
9217,ASST,FINANCE SERVICES
9218,AWIN,Unknown
9219,BURU,Unknown
9220,GPCR,Unknown
9221,MPU,Unknown
9222,ENLT,Unknown
9223,HSAI,Unknown
9224,LICN,SERVICES-MANAGEMENT CONSULTING SERVICES
9225,LNZA,Unknown
9226,LSDI,PHARMACEUTICAL PREPARATIONS
9227,MLYS,Unknown
9228,MVLA,Unknown
9229,NXT,Unknown
9230,BFRG,Unknown
9231,LUNR,Unknown
9232,NFTG,Unknown
9233,OCEA,PHARMACEUTICAL PREPARATIONS
9234,SLND,Unknown
9235,VGAS,Unknown
9236,CATX,Unknown
9237,QDRO,Unknown
9238,STRW,REAL ESTATE INVESTMENT TRUSTS
9239,TIO,Unknown
9240,AMBI,Unknown
9241,ASBA,Unknown
9242,BMR,SERVICES-PREPACKAGED SOFTWARE
9243,HHRS,Unknown
9244,HUBC,COMPUTER COMMUNICATIONS EQUIPMENT
9245,LVRO,Unknown
9246,OCS,Unknown
9247,ZVRA,Unknown
9248,HUBCZ,Unknown
9249,AESI,Unknown
9250,AIXI,Unknown
9251,TORO,Unknown
9252,BLAC,SURGICAL &amp; MEDICAL INSTRUMENTS &amp; APPARATUS
9253,CXAI,Unknown
9254,ICG,SEMICONDUCTORS &amp; RELATED DEVICES
9255,IZM,RETAIL-RADIO TV &amp; CONSUMER ELECTRONICS STORES
9256,MARX,BLANK CHECKS
9257,PAVS,Unknown
9258,SHCO,Unknown
9259,YS,Unknown
9260,BANL,WHOLESALE-PETROLEUM &amp; PETROLEUM PRODUCTS (NO BULK STATIONS)
9261,BNMV,Unknown
9262,CELL,Unknown
9263,CETU,Unknown
9264,MGRX,Unknown
9265,NB,Unknown
9266,NIR,Unknown
9267,OMH,Unknown
9268,ZURA,Unknown
9269,APLM,Unknown
9270,CHSN,FOOD &amp; KINDRED PRODUCTS
9271,DIST,Unknown
9272,HKIT,SERVICES-PREPACKAGED SOFTWARE
9273,HLP,"GENERAL INDUSTRIAL MACHINERY &amp; EQUIPMENT, NEC"
9274,MWG,Unknown
9275,SFWL,Unknown
9276,STHO,Unknown
9277,SYT,Unknown
9278,UHG,Unknown
9279,YGF,FOOD &amp; KINDRED PRODUCTS
9280,ZJYL,Unknown
9281,ARBB,Unknown
9282,ISPR,Unknown
9283,MGIH,Unknown
9284,PTHR,Unknown
9285,SHLT,Unknown
9286,BTDR,Unknown
9287,GDHG,Unknown
9288,GDTC,Unknown
9289,ILLM,Unknown
9290,PKST,Unknown
9291,VCIG,Unknown
9292,JYD,Unknown
9293,SAZ,Unknown
9294,SPHR,Unknown
9295,TCJH,Unknown
9296,TPET,CRUDE PETROLEUM &amp; NATURAL GAS
9297,UCAR,Unknown
9298,USGO,Unknown
9299,WLGS,CONSTRUCTION SPECIAL TRADE CONTRACTORS
9300,SBXC,Unknown
9301,TRNR,Unknown
9302,WUCT,Unknown
9303,KVUE,Unknown
9304,SLRN,Unknown
9305,TMTC,BLANK CHECKS
9306,ZAPP,Unknown
9307,FORL,BLANK CHECKS
9308,CWD,Unknown
9309,FRES,Unknown
9310,MGRM,Unknown
9311,OAKU,Unknown
9312,SDA,Unknown
9313,SGE,PHOTOGRAPHIC EQUIPMENT &amp; SUPPLIES
9314,TBMC,Unknown
9315,ATMU,Unknown
9316,ATS,Unknown
9317,LAES,Unknown
9318,TYGO,Unknown
9319,CJET,Unknown
9320,KNF,Unknown
9321,AACT,Unknown
9322,BENF,Unknown
9323,NPWR,Unknown
9324,AZTR,Unknown
9325,BOF,Unknown
9326,CAVA,Unknown
9327,CISS,Unknown
9328,DTI,Unknown
9329,METCB,Unknown
9330,MTBL,Unknown
9331,NVRI,Unknown
